Time_(sec)	Note	Note_idx
0.84	La4	1
2.37	Sol5	2
2.80	Mi5	3
4.73	Fa5#3	4
5.29	Mi5	5
5.47	Fa5#3	6
6.03	Sol5	7
6.48	Mi5	8
7.15	Re5	9
7.32	Do5	10
7.79	Re5	11
8.28	Do5	12
8.82	Si4b2	13
9.02	Do5	14
9.21	Si4b2	15
9.44	Si4b2	16
9.72	La4	17
10.03	La4	18
10.77	Re5	19
11.04	Do5	20
11.49	Re5	21
11.89	Mi5	22
13.24	Mi5	23
13.46	Re5	24
13.73	Mi5	25
14.66	Mi5	26
15.13	Re5	27
15.63	Fa5#3	28
17.02	Sol5	29
17.48	Fa5#3	30
17.66	Mi5	31
17.92	Re5	32
18.37	Mi5	33
18.73	Fa5#3	34
19.29	Sol5	35
21.11	Sol5	36
21.54	Fa5#3	37
22.51	Sol5	38
22.92	Fa5#3	39
23.45	Mi5	40
24.33	Re5	41
24.79	La5	42
25.26	Sol5	43
26.18	Fa5#3	44
26.70	Fa5#3	45
27.16	Mi5	46
27.33	Sol5	47
27.51	Fa5#3	48
28.06	Mi5	49
28.52	Mi5	50
29.88	Re5	51
30.36	La5	52
31.76	Fa5#4	53
32.31	Sol5	54
32.67	La5	55
33.15	Sol5	56
33.62	Fa5#3	57
34.12	Mi5	58
35.42	Sol5	59
35.97	Fa5#1	60
36.58	Mi5	61
36.87	Re5	62
37.32	Do5#4	63
37.67	Re5	64
38.68	Mi5	65
39.14	Fa5#3	66
39.67	Mi5	67
40.39	Fa5#3	68
40.98	Sol5	69
41.44	Fa5#4	70
41.89	Si5	71
42.37	La5	72
42.82	Sol5	73
43.23	Fa5#3	74
43.76	Mi5	75
43.94	Fa5#3	76
44.25	Mi5	77
44.73	Fa5#3	78
45.20	Sol5	79
45.64	La5	80
46.10	Sol5	81
46.56	Fa5#3	82
47.01	La5	83
47.98	Sol5	84
48.45	Fa5	85
48.92	Mi5	86
49.40	Re5	87
49.84	Do5	88
50.24	Si4b2	89
50.81	La4	90
52.17	Sol5	91
52.67	Mi5	92
54.07	Do5	93
54.56	Re5	94
56.10	Si4b2	95
56.51	Do5	96
