Time_(sec)	Note	Note_idx
0.41	Re4	1
1.67	Sol4	2
3.81	Fa4#4	3
4.88	Sol4	4
5.46	La4	5
6.03	Sol4	6
6.49	Fa4#4	7
7.15	Mi4	8
7.46	Fa4#4	9
7.67	Mi4	10
7.89	Re4	11
8.11	Mi4	12
8.82	Fa4#4	13
9.46	Sol4	14
10.65	La4	15
10.94	Do5	16
11.23	Si4b1	17
11.48	La4	18
11.84	La4	19
14.23	Sol4	20
14.97	La4	21
15.41	Si4b1	22
15.86	Do5	23
16.57	Re5	24
17.21	Si4b1	25
17.94	Sol4	26
18.38	Si4b1	27
19.04	La4	28
20.21	La4	29
20.47	Si4b1	30
20.92	La4	31
21.11	Sol4	32
21.33	Sol4	33
23.89	Sol4	34
24.53	Do5	35
25.87	Do5	36
26.12	Si4b1	37
26.53	Si4b1	38
27.30	La4	39
27.52	Re5	40
28.23	Do5	41
28.45	Si4b1	42
28.75	Si4b1	43
29.09	Do5	44
29.33	Si4b1	45
29.54	La4	46
29.91	La4	47
30.36	Si4b1	48
30.65	La4	49
31.07	Sol4	50
31.31	Sol4	51
31.62	Si4b1	52
32.19	La4	53
32.30	Si4b1	54
32.86	Do5	55
33.45	Si4b1	56
35.00	La4	57
35.22	La4	58
35.41	Si4b1	59
35.53	La4	60
35.75	Sol4	61
35.99	Sol4	62
38.40	Re5	63
39.15	Do5	64
39.42	Si4b1	65
40.20	La4	66
40.46	Sol4	67
41.29	La4	68
41.56	Si4b1	69
42.07	Do5	70
42.68	Re5	71
43.28	Do5	72
43.52	Si4b1	73
43.94	Fa5#4	74
44.71	Mi5b4	75
44.93	Re5	76
45.15	Re5	77
47.04	Si4b1	78
47.56	Do5	79
48.12	Si4b1	80
48.75	Re5	81
50.33	Re5	82
51.53	Do5#4	83
51.83	Si4b1	84
52.16	Si4b1	85
53.54	La4	86
53.86	Sol4	87
54.19	Sol4	88
55.05	La4	89
55.39	Si4b1	90
55.98	Do5	91
56.74	Mi5	92
57.17	Re5	93
57.73	Do5	94
58.25	Si4b1	95
59.10	Si4b1	96
59.62	La4	97
59.85	Si4b1	98
60.20	Do5	99
60.67	Re5	100
60.83	Do5	101
61.00	Si4b1	102
61.38	Si4b1	103
62.30	La4	104
62.59	La4	105
62.96	Si4b1	106
63.32	La4	107
63.46	Sol4	108
63.68	Sol4	109
66.32	Sol4	110
66.96	Do5	111
68.23	Do5	112
68.51	Si4b1	113
68.83	Si4b1	114
69.74	La4	115
70.03	La4	116
70.35	Do5	117
70.64	Si4b1	118
70.86	La4	119
71.26	La4	120
73.08	Sol4	121
73.71	Fa4#4	122
74.55	Mi4	123
75.06	Re4	124
76.42	Re4	125
77.13	Mi4	126
77.50	Fa4#4	127
78.06	Sol4	128
78.62	Mi4	129
79.57	Fa4#4	130
79.81	Sol4	131
80.35	La4	132
81.06	Fa4#4	133
81.80	Sol4	134
82.12	La4	135
82.66	Si4b1	136
83.36	Do5	137
83.71	Si4b1	138
83.91	Do5	139
84.32	Mi5	140
84.64	Re5	141
85.15	Do5	142
85.71	Si4b1	143
85.93	Do5	144
86.22	Si4b1	145
86.49	La4	146
86.83	Si4b1	147
87.25	La4	148
87.43	Sol4	149
88.71	La4	150
88.93	Sol4	151
89.32	La4	152
89.86	Do5	153
90.49	Si4b1	154
91.29	Sol4	155
91.56	La4	156
92.09	Fa4#4	157
92.73	Sol4	158
95.17	Fa4#4	159
95.61	Mi4	160
95.97	Re4	161
96.33	Si4b1	162
97.04	La4	163
97.21	Sol4	164
97.43	Sol4	165
99.23	Si4b1	166
99.55	Do5	167
100.15	Re5	168
102.41	Re5	169
103.18	Mi5b4	170
104.43	Mi5b4	171
104.72	Re5	172
104.97	Re5	173
105.82	Do5	174
106.30	Do5	175
107.25	Si4b1	176
107.46	Si4b1	177
108.47	La4b4	178
109.12	Si4b1	179
