Time_(sec)	Note	Note_idx
2.05	Re4	1
2.57	Sol4	2
3.48	Fa4#4	3
4.03	Sol4	4
4.52	La4	5
4.95	Sol4	6
5.38	Fa4#4	7
5.82	Mi4	8
6.04	Fa4#4	9
6.25	Mi4	10
6.52	Re4	11
6.78	Mi4	12
7.18	Fa4#4	13
7.77	Sol4	14
8.73	La4	15
8.94	Do5	16
9.14	Si4b1	17
9.41	La4	18
9.68	La4	19
11.54	Sol4	20
11.97	La4	21
12.41	Si4b1	22
12.84	Do5	23
13.30	Re5	24
13.71	Si4b1	25
14.15	Sol4	26
14.58	Si4b1	27
15.12	La4	28
16.04	La4	29
16.30	Si4b1	30
16.52	La4	31
16.83	Sol4	32
17.05	Sol4	33
18.89	Sol4	34
19.40	Do5	35
20.27	Do5	36
20.52	Si4b1	37
20.73	Si4b1	38
21.42	La4	39
21.73	Re5	40
22.16	Do5	41
22.38	Si4b1	42
22.59	Si4b1	43
22.83	Si4b1	45
23.04	La4	46
23.26	La4	47
23.48	Si4b1	48
23.70	La4	49
24.09	Sol4	50
24.31	Sol4	51
24.84	Si4b1	52
25.06	La4	53
25.28	Si4b1	54
25.69	Do5	55
26.15	Si4b1	56
26.80	La4	57
27.01	La4	58
27.23	Si4b1	59
27.45	La4	60
27.74	Sol4	61
28.00	Sol4	62
29.93	Re5	63
30.53	Do5	64
30.77	Si4b1	65
31.45	La4	66
31.67	Sol4	67
32.32	La4	68
32.54	Si4b1	69
32.97	Do5	70
33.46	Re5	71
33.89	Do5	72
34.11	Si4b1	73
34.35	Fa5#4	74
34.78	Mi5b4	75
34.95	Re5	76
35.25	Re5	77
36.65	Si4b1	78
37.18	Do5	79
37.62	Si4b1	80
38.15	Re5	81
39.48	Re5	82
40.33	Do5#4	83
40.54	Si4b1	84
40.76	Si4b1	85
42.07	La4	86
42.28	Sol4	87
42.50	Sol4	88
43.23	La4	89
43.44	Si4b1	90
43.88	Do5	91
44.36	Mi5	92
44.78	Re5	93
45.21	Do5	94
45.75	Si4b1	95
46.08	Si4b1	96
46.54	La4	97
46.75	Si4b1	98
47.12	Do5	99
47.31	Re5	100
47.41	Do5	101
47.62	Si4b1	102
48.01	Si4b1	103
48.67	La4	104
48.88	La4	105
49.10	Si4b1	106
49.32	La4	107
49.54	Sol4	108
49.75	Sol4	109
51.71	Sol4	110
52.13	Do5	111
53.07	Do5	112
53.32	Si4b1	113
53.54	Si4b1	114
54.28	La4	115
54.51	La4	116
54.72	Do5	117
54.94	Si4b1	118
55.23	La4	119
55.47	La4	120
56.88	Sol4	121
57.31	Fa4#4	122
57.96	Mi4	123
58.28	Re4	124
59.15	Re4	125
59.80	Mi4	126
60.02	Fa4#4	127
60.46	Sol4	128
61.06	Mi4	129
61.75	Fa4#4	130
61.96	Sol4	131
62.42	La4	132
62.86	Fa4#4	133
63.51	Sol4	134
63.73	La4	135
64.23	Si4b1	136
64.67	Do5	137
64.88	Si4b1	138
65.10	Do5	139
65.42	Mi5	140
65.62	Re5	141
65.97	Do5	142
66.49	Si4b1	143
66.73	Do5	144
66.94	Si4b1	145
67.16	La4	146
67.38	Si4b1	147
67.59	La4	148
67.84	Sol4	149
68.78	La4	150
69.00	Sol4	151
69.22	La4	152
69.65	Do5	153
70.09	Si4b1	154
70.74	Sol4	155
70.96	La4	156
71.49	Fa4#4	157
71.93	Sol4	158
73.86	Fa4#4	159
74.30	Mi4	160
74.54	Re4	161
74.96	Si4b1	162
75.27	La4	163
75.52	Sol4	164
75.76	Sol4	165
77.71	Re5	168
78.06	Mi5b4	170
79.06	Mi5b4	171
79.28	Re5	172
79.52	Re5	173
80.15	Do5	174
80.49	Do5	175
81.15	Si4b1	176
81.36	Si4b1	177
82.01	La4b4	178
82.23	Si4b1	179
82.45	La4b4	180
82.67	La4b4	181
82.88	Sol4	182
83.10	Sol4	183
83.75	La4b4	184
83.97	Si4b1	185
84.33	Do5	186
84.94	Re5	187
85.33	Do5	188
85.59	Si4b1	189
85.81	Fa5#4	190
86.25	Mi5b4	191
86.49	Re5	192
86.78	Re5	193
87.99	Si4b1	194
88.49	Do5	195
88.97	Si4b1	198
89.38	Re5	199
90.95	Re5	200
91.56	Mi5b4	201
91.80	Fa5#4	202
92.26	Sol5	203
92.72	Fa5#4	204
93.37	Mi5b4	205
93.57	Re5	206
94.01	Fa5#4	207
94.48	Fa5#4	208
94.85	Mi5b4	209
95.11	Mi5b4	210
95.42	Fa5#4	211
95.64	Mi5b4	212
95.96	Re5	213
96.17	Re5	214
98.17	Re5	215
98.77	Mi5b4	216
98.99	Fa5#4	217
99.51	Sol5	218
99.95	Fa5#4	219
100.34	Fa5	220
100.84	Fa5#4	NaN
101.24	Sol5	222
101.47	Fa5#4	224
101.70	Fa5#4	225
102.99	Fa5	226
103.25	Fa5	227
103.47	Re5	228
103.79	Re5	229
104.08	Fa5	230
104.30	Fa5#4	231
106.24	Fa5	233
106.67	Fa5#4	234
107.11	Sol5	235
107.54	La5	236
107.98	Sol5	237
108.41	Fa5#4	238
108.85	Sol5	239
109.34	Do6	240
109.72	Si5b1	241
110.13	La5	242
110.41	La5	243
110.63	Sol5	244
111.04	Fa5#4	245
111.26	Mi5	246
111.53	Fa5#4	247
111.96	Sol5	248
112.40	Fa5#4	249
112.83	Sol5	250
113.30	La5	251
113.51	Si5b1	252
113.74	La5	253
113.99	Sol5	254
114.25	Sol5	255
115.52	Mi5	256
115.93	Re5	257
117.12	Do5	258
117.61	Si4b1	259
117.84	Do5	260
118.00	Si4b1	261
118.22	La4	262
118.51	Si4b1	263
118.95	Do5	264
119.38	Si4b1	265
119.84	Mi5	266
120.25	Re5	267
120.69	Do5	268
121.12	Si4b1	269
121.56	La4	270
121.78	Si4b1	271
122.09	Do5	272
122.31	Re5	273
122.43	Do5	274
122.64	Si4b1	275
122.86	Si4b1	276
123.56	La4	277
123.77	La4	278
124.00	Si4b1	279
124.25	La4	280
124.48	Sol4	281
124.70	Sol4	282
126.71	Sol4	283
127.21	Do5	284
128.12	Do5	285
128.36	Si4b1	286
128.58	Si4b1	287
129.23	La4	288
129.45	La4	289
129.67	Do5	290
129.88	Si4b1	291
130.10	La4	292
130.32	La4	293
131.62	Sol4	294
132.06	Fa4#4	295
132.71	Mi4	296
132.93	Re4	297
133.99	Re4	298
134.64	Mi4	299
134.86	Fa4#4	300
135.30	Sol4	301
135.73	Mi4	302
136.41	Fa4#4	303
136.70	Sol4	304
137.17	La4	305
137.60	Fa4#4	306
138.25	Sol4	307
138.47	La4	308
138.91	Si4b1	309
139.39	Do5	310
139.60	Si4b1	311
139.82	Do5	312
140.04	Mi5	313
140.28	Re5	314
140.72	Do5	315
141.20	Si4b1	316
141.42	Do5	317
141.61	Si4b1	318
141.91	La4	319
142.12	Si4b1	320
142.34	La4	321
142.56	Sol4	322
143.55	La4	323
143.77	Sol4	324
143.99	La4	325
144.42	Do5	326
144.86	Si4b1	327
145.49	Sol4	328
145.70	La4	329
146.13	Fa4#4	330
146.57	Sol4	331
148.31	Fa4#4	332
148.75	Mi4	333
148.96	Re4	334
149.23	Si4b1	335
149.66	La4	336
149.93	Sol4	337
150.14	Sol4	338
154.09	Fa5#4	342
154.99	Sol5	343
155.77	Sol5	344
156.30	La5	345
156.73	Sol5	346
157.14	La5	347
157.60	Sol5	348
157.82	Fa5#4	349
158.04	Mi5	350
158.47	Fa5#4	351
158.93	Sol5	352
159.25	Sol5	353
159.46	Fa5#4	354
159.80	Fa5#4	355
160.02	Mi5	356
160.31	Re5	357
160.75	Mi5	358
161.18	Re5	359
162.10	Do5#4	360
162.49	Re5	361
162.92	Mi5	362
163.46	Sol5	363
163.87	Fa5#4	364
164.30	Mi5	365
164.70	Re5	367
164.92	Do5#4	368
165.21	Si4	369
165.58	Do5#4	370
166.04	Re5	371
166.47	Do5#4	372
166.93	Re5	373
167.37	Mi5	374
167.91	Fa5#4	375
168.34	Re5	376
169.21	Mi5	377
169.43	Sol5	378
169.62	Fa5#4	379
169.83	Mi5	380
170.08	Mi5	381
171.89	Re5	382
172.52	Mi5	383
172.78	Fa5#4	384
173.20	Sol5	385
173.60	Fa5#4	386
174.13	Mi5	387
174.45	Re5	388
174.88	Si5b1	389
175.40	La5	390
176.04	Sol5	391
176.27	Fa5#4	392
176.70	Sol5	393
177.13	Fa5#4	394
177.57	Sol5	395
178.05	La5	396
178.22	Si5b1	397
178.44	La5	398
178.66	Sol5	399
178.87	Sol5	400
180.36	La5	401
180.81	Si5b1	402
181.25	Do6	403
181.68	Re6	404
182.17	Do6	405
182.60	Si5b1	406
183.91	Si5b1	407
184.12	La5	408
184.41	La5	409
185.75	La5	410
186.01	Sol5	411
186.23	Sol5	412
186.72	Si5b1	413
187.59	La5	414
187.86	Sol5	415
188.07	Sol5	416
189.83	Re5	417
190.34	Sol5	418
191.21	Fa5	419
191.43	Mi5	420
191.64	Re5	421
193.08	Do5	422
193.51	Si4b1	423
193.70	Do5	424
193.92	Si4b1	425
194.17	La4	426
194.46	Si4b1	427
194.79	Do5	428
195.25	Si4b1	429
195.77	Mi5	430
196.14	Re5	431
196.60	Do5	432
197.07	Si4b1	433
197.47	La4	434
197.70	Si4b1	435
198.04	Do5	436
198.25	Re5	437
198.37	Do5	438
198.59	Si4b1	439
198.80	Si4b1	440
199.56	La4	441
199.77	La4	442
199.99	Si4b1	443
200.21	La4	444
200.43	Sol4	445
200.64	Sol4	446
202.49	Sol4	447
203.01	Do5	448
203.88	Do5	449
204.18	Si4b1	450
204.40	Si4b1	451
205.07	La4	452
205.32	La4	453
205.54	Do5	454
205.75	Si4b1	455
206.01	La4	456
206.23	La4	457
207.67	Sol4	458
208.10	Fa4#4	459
208.75	Mi4	460
208.97	Re4	461
210.04	Re4	462
210.69	Mi4	463
210.91	Fa4#4	464
211.34	Sol4	465
211.77	Mi4	466
212.43	Fa4#4	467
212.72	Sol4	468
213.18	La4	469
213.62	Fa4#4	470
214.27	Sol4	471
214.49	La4	472
214.92	Si4b1	473
215.43	Do5	474
215.60	Si4b1	475
215.82	Do5	476
216.08	Mi5	477
216.30	Re5	478
216.73	Do5	479
217.20	Si4b1	480
217.49	Do5	481
217.63	Si4b1	482
217.85	La4	483
218.07	Si4b1	484
218.28	La4	485
218.50	Sol4	486
219.47	La4	487
219.69	Sol4	488
219.91	La4	489
220.34	Do5	490
220.72	Si4b1	491
221.43	Sol4	492
221.64	La4	493
222.08	Fa4#4	494
222.51	Sol4	495
224.25	Fa4#4	496
224.69	Mi4	497
224.91	Re4	498
225.12	Si4b1	499
225.66	La4	500
225.87	Sol4	501
226.19	Sol4	502
228.53	Sol4	503
229.21	Do5	504
229.45	Si4b1	505
229.93	La4	506
230.39	Sol4	507
230.83	Fa4#4	508
231.26	Mi4	509
231.70	Re4	510
232.13	Mi4	511
232.57	Fa4#4	512
233.05	Sol4	513
233.51	La4	514
233.95	Si4b1	515
234.60	Sol4	NaN
234.88	La4	517
235.23	Fa4#4	NaN
235.75	Sol4	520
236.78	Sol4	521
237.32	La4	522
237.75	Si4b1	523
238.04	La4	524
238.33	Si4b1	525
238.69	Do5	526
238.98	Si4b1	527
239.22	Do5	528
239.51	Re5	529
239.80	Do5	530
240.09	Re5	531
240.35	Mi5	532
240.62	Re5	533
240.90	Mi5	534
241.20	Fa5#4	535
241.49	Mi5	536
241.75	Fa5#4	537
242.04	Sol5	538
243.31	Re5	539
244.29	Sol5	540
244.71	Sol5	541
244.88	Fa5#4	542
245.03	Mi5	543
245.17	Fa5#4	544
246.10	Re5	545
246.54	Fa5#4	546
246.68	Mi5	547
246.83	Re5	548
246.97	Mi5	549
247.94	Do5	550
248.43	Re5	551
249.85	Si4b1	552
250.29	Do5	553
250.94	Si4b1	554
251.46	Fa5	555
251.64	Mi5	556
251.84	Re5	557
252.06	Re5	558
254.28	Do5	559
255.17	Re5	560
255.66	Mi5	563
256.04	Fa5	564
256.29	Sol5	565
256.63	Mi5	566
257.01	Re5	567
257.45	Re5	568
257.85	Do5	569
258.25	Do5	570
258.72	Re5	571
258.94	Mi5	572
259.17	Re5	573
259.33	Do5	574
259.57	Si4b1	575
259.79	La4#4	576
260.01	Si4b1	577
260.42	Do5	578
260.85	Si4b1	579
261.76	La4#4	580
262.23	Si4b1	581
262.59	Do5	582
263.03	Re5	583
263.46	Do5	584
263.90	Si4b1	585
264.30	Re5	586
264.52	Do5	587
264.74	Re5	588
264.96	Mi5	589
265.17	Re5	590
265.61	Do5	591
266.09	Si4b1	593
266.52	Si4b1	594
266.76	La4	595
267.01	La4	596
268.85	Sol4	597
269.29	La4	598
269.77	Si4b1	599
270.21	Do5	600
270.64	Si4b1	601
271.13	La4	602
271.57	Sol4	603
272.22	Mi5	604
272.48	Re5	605
272.91	Do5	606
273.35	Si4b1	607
273.74	La4	608
274.03	Si4b1	609
274.27	Do5	610
274.49	Re5	611
274.68	Do5	612
274.90	Si4b1	613
275.14	Si4b1	614
275.74	La4	615
276.09	La4	616
276.30	Si4b1	617
276.52	La4	618
276.74	Sol4	619
276.96	Sol4	620
278.77	Sol4	621
279.25	Do5	622
280.12	Do5	623
280.36	Si4b1	624
280.70	Si4b1	625
281.33	La4	626
281.55	La4	627
281.77	Do5	628
282.07	Si4b1	629
282.28	La4	630
282.52	La4	631
283.83	Sol4	632
284.33	Fa4#4	633
284.99	Mi4	634
285.23	Re4	635
286.10	Re4	636
286.95	Mi4	637
287.17	Fa4#4	638
287.60	Sol4	639
288.04	Mi4	640
288.69	Fa4#4	641
288.99	Sol4	642
289.42	La4	643
289.88	Fa4#4	644
290.53	Sol4	645
290.75	La4	646
291.23	Si4b1	647
291.70	Do5	648
292.32	Si4b1	649
292.66	Do5	650
293.07	Mi5	651
293.56	Re5	652
293.77	Do5	653
293.99	Si4b1	654
294.23	Do5	655
294.45	Si4b1	656
294.72	La4	657
294.93	Sol4	660
296.03	La4	661
296.25	Sol4	662
296.54	La4	663
296.98	Do5	664
297.41	Si4b1	665
298.24	Sol4	666
298.48	La4	667
299.01	Fa4#4	668
299.45	Sol4	669
301.38	Fa4#4	670
301.92	Mi4	671
302.21	Re4	672
302.69	Si4b1	673
303.51	La4	674
303.77	Sol4	675
304.77	Sol4	676
